staff_code,local_date,raw_code,notes
STAFF-DEMO-PL-002,2026-03-10,MI20,
STAFF-DEMO-PL-002,2026-03-11,N1,needs_confirmation code
STAFF-DEMO-PL-002,2026-03-12,off,
STAFF-DEMO-PL-003,2026-03-10,IM18,
STAFF-DEMO-PL-003,2026-03-11,Inc,alias to INC18
STAFF-DEMO-PL-004,2026-03-10,BB20,
STAFF-DEMO-PL-005,2026-03-10,?,UNKNOWN for wizard
STAFF-DEMO-PL-006,2026-03-10,7HE,alias test
STAFF-DEMO-PL-001,2026-03-10,ช,head day code
STAFF-DEMO-PL-008,2026-03-10,F16,
STAFF-DEMO-PL-009,2026-03-10,B/17,alias
STAFF-DEMO-PL-010,2026-03-10,บด,crosses midnight
STAFF-DEMO-PL-007,2026-03-10,set,lowercase alias Set18
STAFF-DEMO-PL-012,2026-03-10,Bac/MI2,composite token example synthetic
